,food_class1
801,두부청국장찌개
802,망둥어찌개
803,메기매운탕
804,명태매운탕
805,모듬채소전골
806,민어매운탕
807,버섯샤브샤브
808,번데기탕
809,병어찌개
810,보신탕
811,복매운탕
812,복지리
813,볼락매운탕
814,붕어매운탕
815,삼치찌개
816,섞어찌개(모듬찌개)
817,송어매운탕
818,숭어매운탕
819,아귀매운탕
820,애호박찌개
821,어묵매운탕
822,연두부찌개
823,우럭매운탕
824,잉어매운탕
825,잡탕전골
826,장어매운탕
827,조기찌개
828,참치찌개
829,콩나물찌개
830,해물매운탕
831,해물전골
832,홍어찌개
833,가오리콩나물찜
834,꽃게콩나물찜
835,낙지찜
836,단호박찜
837,대구볼찜
838,복찜
839,소갈비찜
840,해물콩나물찜
841,홍어찜
842,황태콩나물찜
843,가자미찜
844,가지찜
845,개고기수육
846,고등어찜
847,굴찜
848,꽃게찜
849,도미찜
850,돼지사태찜
851,두부달걀찜
852,메기찜
853,명란찜
854,미더덕찜
855,바지락찜
856,세발낙지찜
857,소고기스튜
858,소고기찜
859,연두부찜
860,오징어찜
861,감자구이
862,굴비구이
863,꽁치구이
864,닭날개구이
865,소내장구이
866,오리고기로스
867,옥돔구이
868,옥수수구이
869,전어구이
870,넙치구이
871,느타리버섯구이
872,닭꼬치구이
873,도다리구이
874,동태양념구이
875,돼지고기꼬치구이
876,돼지고기스테이크
877,민어구이
878,베이컨떡말이구이
879,병어구이
880,북어양념구이
881,새송이버섯구이
882,서대구이
883,소갈비구이
884,소곱창구이
885,소등심스테이크
886,소등심구이
887,소안심스테이크
888,쑥전(부침개)
889,양태구이
890,오징어불고기
891,우럭구이
892,우엉양념구이
893,은대구구이
894,장어양념구이
895,적어구이
896,전갱이구이
897,조기양념구이
898,조기오븐구이
899,조미김구이
900,채소꼬치구이
901,청어구이
902,칠면조구이
903,키조개구이
904,햄구이
905,새송이버섯전
906,어육소시지전
907,장떡
908,파래전
909,녹두전
910,떡산적
911,모듬채소전
912,소고기완자전
913,애호박부침개
914,양파소고기전
915,어묵전
916,오믈렛
917,옥수수부침
918,해물완자전
919,가지볶음
920,멸치볶음(멸치만)
921,새송이버섯볶음
922,오리볶음
923,중식잡채
924,쫄볶이
925,표고버섯볶음
926,햄채소볶음
927,호박볶음
928,김치돼지고기볶음
