,food_class1
718,국수류
719,국수류
720,자장면류
721,라면류
722,스파게티류
723,스파게티류
724,냉면류
725,죽류
726,죽류
727,죽류
728,죽류
729,죽류
730,죽류
731,죽류
732,죽류
733,죽류
734,국류
735,닭백숙
736,국류
737,국류
738,국류
739,국류
740,국류
741,국류
742,국류
743,국류
744,곰탕류
745,국류
746,국류
747,국류
748,국류
749,국류
750,국류
751,국류
752,국류
753,국류
754,국류
755,국류
756,국류
757,국류
758,국류
759,국류
760,국류
761,국류
762,국류
763,국류
764,국류
765,국류
766,국류
767,국류
768,국류
769,국류
770,국류
771,어묵국물
772,어묵탕
773,국류
774,국류
775,국류
776,조개탕
777,국류
778,국류
779,국류
780,국류
781,국류
782,국류
783,국류
784,전골류
785,찌개류
786,소돼지내장류
787,소고기 샤브샤브
788,소돼지내장류
789,매운탕류
790,매운탕류
791,찌개류
792,매운탕류
793,전골류
794,찌개류
795,매운탕류
796,매운탕류
797,매운탕류
798,대구탕
799,찌개류
800,매운탕류
801,찌개류
802,찌개류
803,매운탕류
804,매운탕류
805,전골류
806,매운탕류
807,버섯 샤브샤브
808,기타빵류
809,찌개류
810,보신탕
811,매운탕류
812,매운탕류
813,매운탕류
814,매운탕류
815,찌개류
816,찌개류
817,매운탕류
818,매운탕류
819,매운탕류
820,찌개류
821,매운탕류
822,찌개류
823,매운탕류
824,매운탕류
825,전골류
826,매운탕류
827,찌개류
828,찌개류
829,찌개류
830,매운탕류
831,전골류
832,찌개류
833,생선찜류
834,해물찜류
835,해물찜류
836,채소찜류
837,생선찜류
838,해물찜류
839,갈비류
840,해물찜류
841,홍어찜
842,생선찜류
843,가자미찜
844,채소찜류
845,개고기 수육
846,생선찜류
847,해물찜류
848,해물찜류
849,도미찜
850,돼지고기찜류
851,달걀찜류
852,생선찜류
853,해물찜류
854,해물찜류
855,해물찜류
856,해물찜류
857,소고기찜류
858,소고기찜류
859,기타찜류
860,오징어찜
861,채소구이류
862,생선구이류
863,생선구이류
864,닭구이류
865,소돼지내장류
866,오리구이류
867,생선구이류
868,채소구이류
869,생선구이류
870,생선구이류
871,느타리버섯 구이
872,닭구이류
873,생선구이류
874,생선구이류
875,기타구이류
876,스테이크류
877,생선구이류
878,기타구이류
879,생선구이류
880,생선구이류
881,새송이버섯 구이
882,생선구이류
883,소갈비 구이
884,소곱창 구이
885,스테이크류
886,소고기구이류
887,스테이크류
888,전류
889,생선구이류
890,불고기류
891,생선구이류
892,우엉 양념구이
893,생선구이류
894,장어 양념구이
895,생선구이류
896,생선구이류
897,조기 양념구이
898,조기 오븐구이
899,김구이류
900,기타구이류
901,생선구이류
902,기타구이류
903,해물구이류
904,햄구이
905,전류
906,전류
907,떡류
908,전류
909,전류
910,떡류
911,전류
912,전류
913,전류
914,전류
915,전류
916,달걀부침류
917,전류
918,전류
919,채소볶음류
920,해물볶음류
921,채소볶음류
922,고기볶음류
923,잡채류
924,기타볶음류
925,채소볶음류
926,햄채소볶음
927,채소볶음류
928,고기볶음류
929,채소볶음류
930,낙지 삼겹살 볶음
931,고기볶음류
932,기타볶음류
933,기타볶음류
934,채소볶음류
935,잡채류
936,베이컨채소볶음
937,채소볶음류
938,소간 채소볶음
939,고기볶음류
940,소곱창 볶음
941,소시지 케첩볶음
942,채소볶음류
943,채소볶음류
944,잡채류
945,채소볶음류
946,제육볶음
947,잡채류
948,피망볶음
949,채소볶음류
950,생선조림류
951,조림류
952,조림류
953,생선조림류
954,생선조림류
955,조림류
956,기타조림류
957,기타조림류
958,기타조림류
959,기타조림류
960,기타조림류
961,생선조림류
962,장조림류
963,조림류
964,장조림류
965,조림류
966,장조림류
967,조림류
968,조림류
969,장조림류
970,기타조림류
971,조림류
972,조림류
973,콩조림류
974,튀김볶음류
